last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-01-30 22:16:32  28547068969  1721616  2:20:02                 1667912            32   17151582
2021-01-30 19:56:30  28545401057  1721584  1:38:44                 1058897            14   15443737
2021-01-30 18:17:46  28544342160  1721570  0:41:12                  384235             6   13429572
2021-01-30 17:36:34  28543957925  1721564  0:40:06                  851982            11   30594864
2021-01-30 16:56:28  28543105943  1721553  0:30:01                  347247             4   16658601
2021-01-30 16:26:27  28542758696  1721549  2:20:00                 2134723            25   21957150
2021-01-30 14:06:27  28540623973  1721524  0:59:51                 1054552            13   25372679
2021-01-30 13:06:36  28539569421  1721511  0:49:22                 1180021            16   34420599
2021-01-30 12:17:14  28538389400  1721495  2:10:45                 1768804            22   19480518
2021-01-30 10:06:29  28536620596  1721473  1:09:51                  757321             9   15612630
2021-01-30 08:56:38  28535863275  1721464  1:40:06                 1450194            14   20861931
2021-01-30 07:16:32  28534413081  1721450  1:59:52                 1360790            19   16347644
2021-01-30 05:16:40  28533052291  1721431  1:00:03                  304820             9    7309588
2021-01-30 04:16:37  28532747471  1721422  1:00:05                  387195             7    9279791
2021-01-30 03:16:32  28532360276  1721415  0:49:48                  153564             6    4440404
2021-01-30 02:26:44  28532206712  1721409  0:30:07                  575263             6   27505657
2021-01-30 01:56:37  28531631449  1721403  1:20:02                  647409            15   11648508
2021-01-30 00:36:35  28530984040  1721388  1:40:02                 1612708            18   23215256
2021-01-29 22:56:33  28529371332  1721370  0:39:59                  156352             5    5631018
2021-01-29 22:16:34  28529214980  1721365  1:19:53                  869537            15   15674524
2021-01-29 20:56:41  28528345443  1721350  1:40:08                 1056320            15   15190753
2021-01-29 19:16:33  28527289123  1721335  0:59:45                  328988             9    7928748
2021-01-29 18:16:48  28526960135  1721326  0:40:10                  443176             6   15888135
2021-01-29 17:36:38  28526516959  1721320  1:10:01                  555160            12   11417715
2021-01-29 16:26:37  28525961799  1721308  2:20:06                 1448173            26   14884861
2021-01-29 14:06:31  28524513626  1721282  0:50:02                  837899             5   24115414
2021-01-29 13:16:29  28523675727  1721277  0:59:41                 1099678            22   26532303
2021-01-29 12:16:48  28522576049  1721255  2:00:15                 1507055            22   18047061
2021-01-29 10:16:33  28521068994  1721233  0:59:45                  738192            12   17790736
2021-01-29 09:16:48  28520330802  1721221  0:30:15                  541163             6   25761147
2021-01-29 08:46:33  28519789639  1721215  1:29:51                 1226951            17   19663989
2021-01-29 07:16:42  28518562688  1721198  2:10:03                 1424515            26   15773176
2021-01-29 05:06:39  28517138173  1721172  1:50:04                 1540970            16   20160479
2021-01-29 03:16:35  28515597203  1721156  0:29:56                   51845             2    2494102
